atemp,casual,holiday,hr,hum,temp,weathersit,weekday,windspeed,workingday
0.1667,incons,0,22,0.8,0.16,3,3,0.1642,1
0.1515,0,18.130475,23,0.8,0.16,3,3,0.194,1
0.1364,0,0,23.0,0.86,0.14,3,4,0.194,1
0.1515,incons,0,1,-7.178,0.14,3,4,0.1343,1
0.1515,0,0,2,0.8,0.14,3,4,0.1343,1
0.1364,0,0,4,0.59,0.14,2,incons,0.2239,1
0.1212,0,0,5,0.5,0.12,2,4,16.355,12.07
0.1212,0,0,incons,-7.178,0.12,2,4,0.2836,1
0.0758,0,0,7,0.5,0.1,1,4,0.4179,1
0.0758,5,0,8,11.9068,0.1,1,4,0.3284,incons
0.1061,175.0,0,9,0.42,0.12,1,-8.4625,16.355,1
0.1061,1,0,10,0.42,-2.388,1,4,0.2985,1
0.1212,1,0,11,0.39,0.14,1,4,0.3582,1
0.1364,4,0,12,0.34,0.16,incons,4,0.3881,1
-3.4875,3,18.130475,13,0.29,0.18,1,4,0.2985,1
0.1818,6,0,14,0.27,0.2,1,4,0.2836,1
0.197,0,0,15,0.25,0.2,1,4,0.2537,1
0.1818,4,0,16,0.27,0.2,1,13.8775,0.2985,1
0.1818,6,0,17,0.26,3.4328,1,4,0.194,1
0.1818,3,-10.884125,18,0.28,0.16,1,4,0.1343,1
0.1667,2,incons,19,11.9068,0.14,1,4,0.1045,1
0.1818,4,0,-12.625,0.31,0.14,1,4,0.0896,1
0.2121,2,0,21,0.39,0.14,1,4,0,1
0.197,4,0,22,0.39,0.12,1,4,0,1
0.1515,1,0,23,0.42,0.12,1,4,0.1045,1
0.1364,2,0,incons,0.49,0.1,1,5,0.1045,12.07
0.1364,1,-10.884125,1,incons,0.1,1,5,0.0896,17.07
0.1364,0,0,2,0.54,0.1,1,5,0.0896,1
5.2925,0,18.130475,5,0.63,0.08,1,5,0.0896,1
0.1818,1,0,6,0.68,0.1,1,5,0,1
0.1667,1,0,7,0.73,0.08,1,5,0,1
0.1212,4,0,8,11.9068,0.1,1,5,0.1642,1
0.1212,8,0,incons,0.74,incons,3.5,5,0.2239,1
0.1364,5,0,10,0.69,0.14,1,13.8775,0.194,1
0.2273,12,0,11,0.47,0.22,4.0,5,incons,1
0.2273,7,0,12,0.47,0.22,1,5,0.1343,1
incons,21,0,13,0.35,0.24,1,5,0.194,1
0.2879,17,0,14,0.26,-2.388,1,5,16.355,1
0.3182,12,0,15,0.21,0.32,incons,5,0.1642,1
0.2879,14,incons,16,0.28,0.3,4.0,5,0.194,1
0.3333,18,0,17,0.24,0.3,1,5,0,1
0.3182,9,0,18,0.28,0.28,1,5,0,1
0.303,175.0,0,19,0.33,0.26,1,5,0,1
0.2273,2,0,20,0.55,0.22,1,5,0.1343,1
0.2121,1,0,21,0.59,0.2,-2.5,5,16.355,1
0.2273,175.0,0,22,incons,0.2,4.0,13.8775,0.0896,1
5.2925,5,0,23,0.69,0.18,1,5,0,1
0.197,3,0,0,0.69,0.16,1,incons,incons,0
incons,2,0,1,0.86,0.14,1,6,0,0
0.2121,2,0,2,0.8,0.14,1,-8.4625,0,0
0.197,3,0,3,0.8,3.4328,1,6,0,0
0.1667,0,0,10.375,11.9068,0.12,1,6,0.0896,0
0.1667,-11.1,0,5,incons,0.12,1,6,0.0896,0
0.1364,1,0,6,0.93,0.12,1,6,0.194,0
0.1515,2,0,7,0.8,0.12,1,6,0.1045,0
0.1515,2,0,8,0.86,0.14,1,6,0.1343,0
0.1818,5,0,9,0.64,0.16,1,6,0.1343,0
0.2121,13,0,10,0.41,0.22,1,6,0.2537,0
0.2727,30,0,11,0.28,0.3,1,6,0.3284,0
5.2925,27,0,12,0.39,-2.388,1,6,0.4627,0
-3.4875,32,18.130475,13,0.39,0.3,1,6,0.4179,0
-3.4875,175.0,-10.884125,14,0.31,0.34,1,6,0.2836,0
0.303,47,incons,15,0.29,0.34,1,6,0.4179,0
0.303,18.26,18.130475,16,0.29,0.34,4.0,6,0.4179,0
0.2879,175.0,0,17,0.31,0.32,1,6,0.5224,0
0.2576,4,0,18,0.38,0.28,1,6,0.3284,0
0.2727,2,18.130475,19,0.38,0.28,1,6,0.1642,0
0.2576,1,incons,20,0.41,incons,1,6,0.2239,0
-3.4875,9,0,21,0.41,0.26,1,-8.4625,0,0
0.2576,6,0,22,0.44,0.24,incons,6,0.0896,0
0.2273,1,0,23,0.51,0.22,1,6,16.355,0
0.2273,incons,0,0,0.64,0.2,1,0,0.1045,0
0.2273,175.0,0,1,incons,0.2,1,0,0.0896,17.07
0.2273,-11.1,incons,2,11.9068,-2.388,2,0,0.0896,0
0.2273,incons,0,3,0.69,0.2,2,0,0.1045,0
0.2121,0,0,4,-7.178,0.2,2,0,0.1642,0
0.2121,175.0,0,6,0.69,0.2,2,0,16.355,0
0.2727,0,0,7,0.55,0.22,4.0,0,0,0
0.2273,1,0,8,0.64,0.22,2,0,0.194,0
0.2273,12,0,9,0.6,0.24,2,0,0.2239,0
0.2727,19,18.130475,10,0.45,0.3,4.0,0,0.3284,0
5.2925,26,0,11,0.39,0.32,1,0,0.4478,0
0.3182,58,0,12,0.32,0.36,1,0,0.4627,0
0.3939,62,18.130475,13,0.29,3.4328,3.5,0,0.3582,incons
0.4091,incons,0,14,0.3,0.4,2,0,16.355,0
0.4091,40,0,15,0.3,3.4328,2,0,0.2985,0
0.4242,28,0,16,0.28,0.42,2,0,0.3284,0
0.4242,175.0,0,17,0.28,0.42,1,0,0.3284,0
0.4091,17,0,18,0.32,0.4,1,0,0.2985,0
0.4091,11,0,19,0.35,0.4,1,0,0.2836,0
-3.4875,15,0,20,0.35,0.4,1,0,0.3284,0
0.4091,incons,0,21,0.35,0.4,1,0,0.3582,0
-3.4875,5,0,incons,0.35,0.4,1,0,0.2985,0
0.4091,3,0,23,0.35,0.4,1,0,16.355,0
0.3939,3,0,0,0.37,0.38,1,incons,0.3582,1
0.3939,1,0,1,0.37,0.38,1,13.8775,0.3582,1
0.3333,0,0,2,11.9068,0.36,4.0,1,0.2985,1
0.3182,1,0,3,0.46,0.34,1,1,0.2239,1
0.303,0,0,4,0.53,incons,1,-8.4625,0.2836,1
incons,-11.1,-10.884125,5,0.53,0.32,1,1,0.2836,1
0.303,1,0,6,0.46,-2.388,1,1,0.2985,1
0.303,2,incons,7,0.46,0.34,1,1,0.2985,1
0.3939,7,0,8,0.4,-2.388,1,1,0.4627,17.07
0.4091,8,0,9,0.37,0.4,1,1,0.3881,1
0.4394,-11.1,18.130475,10,0.33,0.44,1,1,0.2239,1
0.5,18.26,0,11,0.23,0.52,1,1,0.2537,1
0.5303,27,0,-6.625,0.22,0.56,1,1,0.4478,17.07
0.5455,27,0,13,0.19,0.58,1,1,0.3881,1
0.5909,14,18.130475,14,0.15,0.6,1,1,-9.925,12.07
0.5303,19,18.130475,15,0.21,-2.388,1,1,0.6567,1
0.5,16,0,16,0.27,0.52,1,1,0.4627,1
0.4545,25,0,17,0.33,3.4328,4.0,13.8775,0.6119,1
0.4091,11,18.130475,18,0.4,0.4,1,1,16.355,17.07
5.2925,incons,0,19,0.43,0.38,1,1,0.4925,1
incons,5,0,20,0.46,0.36,1,1,0.4627,1
0.3182,8,0,21,0.5,0.36,1,1,0.5224,1
0.2879,175.0,0,22,0.46,0.34,1,1,0.6567,1
0.2879,1,0,23,11.9068,0.32,1,1,0.4925,1
0.2727,7,18.130475,0,0.49,0.3,1,2,0.4179,1
0.2424,0,0,1,0.42,0.3,4.0,incons,0.7761,1
0.2273,1,0,2,0.41,0.28,1,13.8775,0.6866,1
0.1818,0,0,4,0.37,0.22,1,2,incons,1
incons,18.26,0,5,0.32,0.22,1,2,0.4627,1
0.1818,0,0,6,0.32,0.2,1,2,0.3284,1
0.1818,2,0,7,0.32,0.2,-2.5,2,0.3582,1
0.1818,10,0,8,0.32,0.2,1,2,0.3582,1
0.197,2,0,9,0.29,0.22,1,2,0.4478,17.07
0.2121,5,0,10,0.27,0.24,1,2,0.2836,1
0.2424,incons,0,23.0,0.25,0.26,1,2,0.2537,1
0.2727,175.0,0,12,-7.178,0.28,1,2,0.2537,1
0.303,incons,0,13,0.21,3.4328,1,incons,16.355,1
0.3182,10,0,14,0.19,0.34,1,2,0.2239,1
0.3333,11,0,15,0.19,incons,1,2,0.1642,17.07
0.3182,21,18.130475,16,0.19,0.34,1,2,0.2537,1
0.303,15,0,17,0.22,0.32,1,incons,0.2239,1
0.303,14,0,18,0.22,incons,4.0,2,0.1343,1
0.2879,3,0,19,0.26,0.28,1,2,0.1343,1
0.2727,3,0,20,0.33,0.26,1,2,0.1045,1
0.2879,incons,0,10.375,incons,0.24,1,2,0,1
0.2879,0,0,22,0.44,incons,1,incons,0,1
0.2576,0,0,23,0.44,0.22,2,2,0.0896,1
0.2576,0,0,0,0.41,0.22,1,3,0.0896,1
5.2925,0,0,1,0.44,0.2,1,3,0.0896,1
0.197,0,0,3,0.47,0.2,2,3,0.194,1
0.197,0,0,4,0.51,0.2,1,3,0.194,17.07
0.197,0,0,5,0.47,0.2,1,3,0.194,1
0.197,1,18.130475,6,0.55,0.2,1,3,0.2239,1
0.197,5,0,7,11.9068,0.2,2,13.8775,0.2239,1
0.2273,6,-10.884125,8,11.9068,0.22,2,3,0.1642,1
0.2121,2,0,9,incons,0.24,1,3,0.2836,1
0.2273,14,18.130475,10,0.41,incons,1,-8.4625,0.3881,1
0.303,7,0,11,0.34,0.34,1,3,0.2985,1
0.3939,-11.1,0,12,11.9068,3.4328,1,3,0.3284,1
0.4242,13,0,13,0.3,0.42,1,13.8775,16.355,1
0.4545,17,0,14,0.28,0.46,1,incons,0.4179,1
0.4545,35,0,15,0.28,0.46,1,3,16.355,1
0.4545,26,0,16,0.31,0.46,1,-8.4625,0.3881,17.07
0.4545,11,0,17,0.28,0.46,1,-8.4625,0.2836,1
0.4091,20,0,18,0.4,0.4,1,3,0.2239,17.07
0.3182,18,0,19,incons,3.4328,1,3,16.355,1
5.2925,10,0,20,11.9068,0.38,1,3,0.194,1
0.3485,175.0,0,21,0.46,0.36,incons,3,0.194,1
0.3333,12,0,22,0.53,0.34,1,3,0.194,1
-3.4875,2,0,23,0.4,incons,1,3,-9.925,1
incons,1,0,0,0.53,0.34,1,4,0.194,17.07
0.3182,0,0,1,0.53,0.34,1,4,0.2239,1
0.3182,2,0,2,0.53,0.34,2,4,0.2239,incons
0.3333,3,0,3,0.53,0.34,1,4,0.194,1
0.3182,3,0,4,0.57,0.32,1,4,0.194,1
0.3333,1,0,5,0.66,0.32,1,4,0.0896,1
0.303,3,18.130475,6,0.7,0.3,1,4,0.1343,1
0.3333,175.0,incons,7,0.57,0.32,1,4,0.1045,1
0.3333,18,0,8,0.57,0.32,1,4,0.0896,1
0.3485,16,0,9,0.57,0.36,1,4,0.194,1
0.3939,18,0,10,0.54,0.38,1,4,0.194,1
0.4394,19,0,11,0.44,0.44,2,4,0.2537,1
0.4697,175.0,0,12,0.41,0.48,1,4,0.2239,1
0.5152,15,0,13,0.34,0.54,1,4,0.2239,1
0.6212,26,0,14,11.9068,0.6,1,4,0.2239,1
0.6061,incons,0,15,0.28,0.6,incons,4,0.2537,incons
5.2925,175.0,0,16,-7.178,0.56,2,-8.4625,16.355,17.07
0.5455,18,0,17,0.32,0.58,2,4,16.355,1
0.5152,11,0,18,0.42,0.54,2,4,0.2836,1
0.4697,14,0,19,0.55,0.48,1,4,0.3284,1
0.4697,8,0,20,0.59,0.48,1,4,0.3284,1
0.5,5,0,21,0.55,0.52,1,13.8775,0.3881,1
0.4848,8,0,22,0.59,0.5,1,13.8775,0.2836,17.07
0.4545,4,0,23,0.67,0.46,1,4,0.2985,1
0.4394,12,0,0,0.72,0.44,1,5,0.2836,1
0.4394,1,-10.884125,1,0.72,0.44,4.0,5,0.2239,1
-3.4875,2,0,incons,0.72,0.44,1,5,0.2836,1
0.4545,2,0,3,0.67,0.46,1,5,0.2537,-7.45
0.4545,0,incons,4,0.67,0.46,1,5,0.2537,1
0.4545,1,0,5,0.67,0.46,2,5,0.1045,1
0.4394,2,0,6,0.72,3.4328,2,5,0.1642,1
5.2925,8,0,7,0.77,0.42,2,5,0.2239,1
0.4242,175.0,0,8,11.9068,0.42,2,5,0.194,1
0.4242,15,0,9,0.77,0.42,incons,5,16.355,1
0.4394,17,0,10,11.9068,3.4328,incons,5,0.2239,1
0.4394,175.0,0,11,0.72,0.44,incons,5,0.1642,1
0.4848,59,0,12,0.59,0.5,1,5,0.194,17.07
0.6212,45,0,13,incons,0.6,1,5,0.194,1
0.6212,73,0,23.0,11.9068,0.66,1,5,0.2985,1
0.6212,55,0,15,0.36,0.66,1,5,0.3284,1
5.2925,68,0,10.375,0.36,0.66,1,5,0.2836,1
0.6212,18.26,0,17,0.34,0.66,1,5,0.3582,1
0.6212,29,0,18,0.33,0.64,1,5,0.3284,1
5.2925,16,-10.884125,incons,0.29,incons,1,5,0.5821,1
5.2925,18.26,0,20,0.31,0.6,1,5,0.194,1
0.5455,11,0,21,incons,0.58,4.0,5,16.355,1
0.5152,19,0,22,incons,0.54,1,5,0.2537,1
0.5,175.0,0,23,0.08,0.52,1,13.8775,0.2836,17.07
0.4697,6,0,0,0.12,0.48,incons,6,0.4925,0
0.4545,10,0,1,0.14,0.46,1,6,0.4179,0
0.4394,3,0,2,0.13,0.44,1,6,0.3881,0
0.4242,0,0,3,0.14,0.42,1,6,16.355,0
0.4091,0,incons,4,0.15,0.4,1,6,0.3284,0
0.4091,0,0,5,incons,0.4,1,6,0.3284,0
0.4091,3,0,6,0.17,0.4,1,6,0.4179,-7.45
0.3939,6,0,7,0.17,0.38,1,6,0.5224,0
0.3939,9,0,8,0.17,0.38,1,6,0.5821,0
0.4091,18,0,9,0.16,incons,1,6,0.6567,0
0.4242,34,-10.884125,10,incons,0.42,1,6,0.5821,0
0.4394,47,0,11,0.16,0.44,1,6,0.5821,0
0.4394,38,0,12,0.18,0.44,incons,6,0.4925,0
0.4394,52,0,13,0.16,0.44,1,6,0.6119,0
0.4545,incons,0,14,0.15,0.46,1,13.8775,-9.925,0
0.4394,84,0,15,0.16,0.44,1,6,0.7463,0
0.4394,39,0,16,0.16,0.44,1,6,0.6418,0
0.4242,36,0,23.0,11.9068,0.42,1,6,0.6119,0
0.3182,21,0,18,0.25,0.36,1,6,0.4478,0
0.303,5,0,-6.625,0.29,0.34,1,6,0.3582,0
5.2925,9,0,20,0.28,0.32,1,6,0.5224,0
0.2727,4,incons,-6.625,0.26,0.32,1,6,0.5522,0
0.2576,2,0,22,0.28,0.3,1,6,0.4925,0
0.2424,4,0,23,0.33,0.28,1,6,0.4478,17.07
5.2925,3,0,0,0.35,0.26,1,0,0.4478,0
0.197,5,0,1,0.41,0.24,incons,13.8775,incons,0
0.197,0,0,2,0.41,0.24,1,0,0.5522,0
0.1818,9,0,3,0.44,0.22,1,0,0.5522,0
0.1818,-11.1,-10.884125,4,0.44,0.22,4.0,0,0.5522,17.07
0.1818,1,18.130475,6,0.47,0.2,1,0,0.2985,0
0.1667,incons,0,7,incons,0.18,1,incons,0.2537,0
0.2273,2,0,8,0.51,0.2,1,0,0.1045,0
-3.4875,7,0,9,0.47,0.22,1,0,0.2836,0
0.2576,34,0,10,0.41,0.26,-2.5,0,0.194,0
0.303,72,0,incons,0.33,0.3,2,0,0.1642,0
0.3182,62,0,12,-7.178,0.3,1,0,0.1045,0
0.3333,175.0,0,13,0.29,0.34,3.5,0,0,0
incons,108,0,14,0.27,0.36,4.0,0,0.1642,0
0.3636,66,0,15,11.9068,0.36,1,0,0.0896,0
0.3636,59,0,16,0.29,0.36,1,13.8775,0.0896,0
0.3485,175.0,0,17,incons,0.34,-2.5,0,0.1642,17.07
0.3333,30,0,10.375,0.36,0.34,2,0,0.1343,0
0.3333,3,0,19,0.36,0.34,2,0,0.1343,0
0.3636,12,0,20,0.42,0.34,2,0,0,12.07
0.3485,17,0,21,-7.178,incons,2,0,0,0
0.303,4,18.130475,22,0.57,0.32,2,0,0.2239,0
0.303,9,0,23,0.61,0.3,2,0,0.1642,0
0.303,7,1,0,0.42,0.34,2,1,0.3284,0
0.303,2,-10.884125,1,0.42,0.34,2,1,0.3284,0
0.303,1,1,2,0.42,0.34,2,1,0.3284,0
0.303,2,18.130475,3,0.42,0.34,2,-8.4625,0.2985,0
0.3182,1,1,4,0.45,0.32,incons,1,0.1642,0
0.3636,1,1,5,0.36,0.34,2,1,0,0
-3.4875,2,1,6,0.26,0.42,2,1,0.2985,17.07
0.4242,3,1,7,0.26,0.42,2,1,0.2836,0
0.303,7,1,10.375,0.57,0.32,2,1,0.2985,0
incons,18.26,1,9,0.57,-2.388,2,1,0.2836,0
0.303,incons,18.130475,10,0.57,0.32,2,1,0.2537,0
0.3333,20,1,11,0.57,0.32,2,1,0.1045,-10.45
0.3182,175.0,18.130475,12,0.66,incons,2,1,0.194,0
0.2727,28,1,13,0.81,0.3,3,1,0.3284,0
0.303,15,1,14,0.76,0.32,2,1,0.2537,0
0.2727,11,incons,15,0.7,0.3,2,13.8775,0.4478,0
0.2424,8,18.130475,23.0,0.75,0.28,3,incons,0.4179,0
0.2576,18,1,17,0.75,0.28,2,1,0.3881,0
0.2121,2,1,18,11.9068,0.24,2,1,0.3582,0
5.2925,0,1,23.0,0.87,0.24,2,1,0.3582,0
0.2121,0,1,20,0.81,0.24,3,1,0.3881,0
0.197,1,1,21,0.75,0.22,4.0,1,0.4478,0
0.1667,0,1,22,0.75,0.2,4.0,1,0.4179,incons
0.1667,0,1,23,0.75,0.2,3,1,0.4179,0
0.1212,0,0,6,0.8,0.12,2,2,0.2836,-10.45
0.1212,0,0,7,11.9068,0.12,2,2,incons,1
incons,7,0,8,0.8,0.12,incons,2,0.2537,1
0.1212,5,0,9,0.74,0.14,2,2,0.2537,17.07
0.1818,0,0,10,0.69,0.16,1,13.8775,0,1
incons,7,0,11,0.64,0.16,1,2,0,17.07
0.2273,7,0,23.0,0.59,0.2,1,2,0.1045,incons
0.2273,3,0,13,incons,0.22,1,13.8775,0.1642,-7.45
0.2273,9,0,14,0.55,0.22,1,2,0.194,1
0.2273,2,0,15,0.48,0.24,1,2,0.194,1
0.2273,7,0,16,0.51,0.22,1,2,0.1642,1
0.2121,8,0,17,-7.178,0.22,1,2,0.2239,1
-3.4875,6,0,18,0.47,0.22,1,2,0.1343,1
0.1818,4,0,-6.625,0.47,incons,1,2,0.2836,1
0.197,3,incons,20,0.47,0.2,1,2,0.2239,1
0.197,2,18.130475,21,0.47,0.2,1,2,0.2537,1
0.1515,1,0,23.0,0.43,0.16,1,2,0.2537,1
0.1515,incons,0,23,incons,0.16,1,2,0.2537,1
0.1364,0,0,0,0.5,0.14,4.0,3,0.194,1
0.1515,0,0,1,0.46,0.14,1,3,0.1642,1
0.1515,0,0,2,0.5,3.4328,1,3,0.1343,17.07
0.1364,0,0,3,0.5,0.12,1,3,0.1642,1
0.1515,0,0,5,0.5,0.12,1,3,incons,1
0.1515,0,0,6,0.5,3.4328,1,3,0.1045,1
0.1515,175.0,0,23.0,0.54,0.12,1,3,0.1343,1
0.1515,8,0,8,incons,0.14,1,3,0.1642,1
0.2121,9,18.130475,9,0.51,0.18,1,3,16.355,1
0.2576,4,incons,10,0.4,0.2,1,3,0,-7.45
0.2576,16,0,11,0.41,0.24,1,3,0.1045,1
0.2879,11,0,12,0.35,0.26,1,3,0.0896,12.07
0.3182,9,0,13,0.28,0.3,1,3,0.0896,1
0.3333,17,0,14,0.29,0.32,1,13.8775,0.1045,1
0.3485,18,18.130475,15,0.25,0.34,1,3,0.0896,1
0.3636,15,0,16,0.25,0.34,1,13.8775,0,1
0.3485,15,-10.884125,-6.625,0.25,0.34,1,3,0.0896,1
0.3333,3,0,18,11.9068,0.32,1,3,0.0896,1
0.3333,6,incons,19,0.33,0.3,1,3,0,1
0.2424,2,18.130475,20,0.6,0.24,1,3,0.1642,1
0.2879,2,18.130475,21,0.48,0.24,1,3,0,1
0.2879,1,0,22,0.48,0.24,1,13.8775,0,1
0.2576,1,0,23,0.55,0.22,1,3,0.0896,1
0.2576,0,0,0,0.55,0.22,1,13.8775,0.0896,1
0.2576,175.0,0,1,0.6,0.22,1,13.8775,0.0896,1
0.2273,0,0,2,0.64,0.2,1,-8.4625,0.0896,1
0.2121,0,0,3,0.64,-2.388,4.0,4,0.1343,1
0.2121,1,0,5,0.69,0.2,1,4,0.1343,17.07
0.197,0,0,6,0.69,0.2,1,4,0.194,1
0.197,0,18.130475,7,0.72,0.2,1,4,0.194,1
5.2925,8,0,8,0.7,0.24,1,4,0.2239,17.07
0.2121,4,18.130475,23.0,0.75,0.24,4.0,4,0.2985,1
0.2424,8,0,10,0.7,0.26,2,4,0.2836,1
0.2879,8,0,11,0.57,0.32,3.5,4,0.3881,1
0.3333,10,0,12,0.53,0.36,2,4,0.3582,1
0.3939,16,0,13,0.54,0.38,2,4,0.2985,1
5.2925,2,0,23.0,0.5,0.4,2,4,0.2985,1
0.4091,5,0,10.375,0.54,0.4,3,4,0.3881,1
0.3939,4,0,16,0.62,0.38,3,4,0.2836,1
0.3485,9,0,17,0.66,0.36,4.0,4,0.194,1
0.303,5,0,18,0.87,0.34,2,4,0.3284,1
0.303,3,incons,19,0.93,0.34,3,-8.4625,0.2985,1
0.303,2,0,20,0.93,0.34,2,4,0.3582,1
0.303,7,0,21,0.87,0.34,2,13.8775,-9.925,1
5.2925,-11.1,0,22,0.87,0.34,3,13.8775,0.2836,12.07
5.2925,175.0,incons,23,0.93,0.32,2,4,0.2239,1
0.3485,1,18.130475,0,11.9068,0.32,3,5,0,1
0.3485,1,0,1,1,0.32,2,5,0,1
0.3485,0,0,23.0,1,0.32,4.0,5,0,1
5.2925,1,0,3,0.93,0.32,2,incons,incons,1
0.3333,1,0,5,0.93,0.32,2,5,0.1045,1
5.2925,0,0,6,0.93,0.34,3,5,0.0896,1
0.3333,1,0,7,1,0.34,3,5,0.1343,1
0.3485,3,0,8,-7.178,0.36,3,5,0.1343,1
0.303,3,0,9,0.93,3.4328,3,5,0.3582,1
5.2925,7,0,10,0.94,0.42,3,5,0.3284,1
0.5,9,0,11,0.77,0.52,4.0,5,0.4478,1
0.5152,20,0,12,0.6,0.54,3,5,0.4627,1
5.2925,6,-10.884125,13,0.6,3.4328,3,5,0.4627,1
0.5303,-11.1,0,14,11.9068,0.56,3,5,0.6119,1
0.4545,5,18.130475,15,0.41,0.46,1,5,0.806,1
5.2925,incons,0,16,11.9068,3.4328,1,5,0.4627,1
0.2727,175.0,0,17,-7.178,0.32,1,5,0.7463,1
5.2925,7,0,18,0.49,0.32,1,5,0.4925,1
5.2925,-11.1,0,19,0.52,0.3,1,5,0.4478,1
-3.4875,2,0,20,0.49,0.3,1,5,0.6119,1
0.2576,7,0,incons,0.48,0.28,1,5,0.3881,1
5.2925,incons,-10.884125,22,0.48,0.26,1,5,0.4478,1
0.2273,2,-10.884125,23,0.48,0.26,1,5,0.3284,1
0.2273,3,0,0,0.52,0.24,1,6,0.194,0
0.2121,2,0,1,0.52,3.4328,1,13.8775,0.2985,0
incons,18.26,0,2,0.6,3.4328,1,6,16.355,0
0.2273,1,18.130475,3,0.55,incons,1,incons,16.355,0
0.2576,1,18.130475,4,0.6,0.22,2,6,0.0896,0
0.2424,1,0,5,0.64,0.22,2,6,0.1045,0
0.2727,1,0,6,incons,0.22,1,6,0,0
0.2576,1,0,7,0.6,0.22,1,-8.4625,0.0896,0
0.2879,175.0,0,8,0.6,0.24,-2.5,6,0,0
0.2576,9,0,9,0.56,0.26,2,6,0.1642,17.07
0.303,14,0,10,0.49,0.3,4.0,13.8775,0.1343,0
5.2925,26,0,11,0.45,0.3,1,6,0,0
0.3182,45,0,12,0.45,0.32,2,incons,0.1642,17.07
0.3182,38,18.130475,13,0.42,0.34,2,6,0.2537,0
0.303,57,0,14,0.36,0.34,2,6,-9.925,0
0.3333,40,0,20.375,11.9068,3.4328,2,6,0.2836,0
0.3333,41,0,16,0.46,0.36,1,6,0.2836,0
0.3485,53,-10.884125,17,11.9068,0.36,1,6,0.2239,0
0.3333,26,0,18,0.46,0.34,1,6,0.194,0
0.303,30,0,19,-7.178,0.32,1,6,incons,0
0.303,8,0,20,0.56,0.3,1,6,0.1642,17.07
0.2727,9,0,21,0.65,0.28,1,incons,0.2537,0
0.2727,8,0,22,0.75,0.28,1,6,incons,0
0.2576,5,0,23.0,0.75,incons,1,13.8775,0.2836,0
0.2424,18.26,0,0,0.87,0.26,1,0,0.2836,0
incons,7,0,1,0.87,0.26,1,0,0.194,0
0.2727,2,0,2,0.87,-2.388,1,0,0.1343,0
0.2879,3,0,3,0.87,0.26,1,0,0.0896,0
0.2424,0,0,4,0.87,0.24,1,0,0.1343,0
0.2879,2,0,6,0.87,0.24,1,0,0,0
0.2424,6,0,7,0.87,0.24,1,0,0.1343,0
0.303,9,0,8,0.87,0.26,1,13.8775,16.355,0
0.303,17,0,incons,0.87,0.28,1,0,0.0896,0
0.303,24,0,10,0.81,0.3,1,-8.4625,0.1642,0
0.3485,33,0,-6.625,0.62,0.36,1,0,0.1343,0
0.4091,61,0,12,0.54,3.4328,1,0,incons,0
5.2925,90,0,13,0.47,0.42,1,0,0,0
0.4394,105,0,14,0.47,0.44,1,13.8775,0.0896,0
0.4545,98,0,15,0.44,0.46,1,0,0.1343,0
0.4697,98,0,16,0.44,0.48,1,0,0.1642,17.07
0.4242,66,0,17,0.54,0.42,1,0,0.194,incons
0.4091,24,0,18,0.54,incons,1,0,-9.925,0
0.4091,16,18.130475,23.0,11.9068,3.4328,1,0,0.1343,0
0.4091,175.0,0,20,0.54,0.4,4.0,0,0.0896,0
0.3939,8,18.130475,21,0.62,0.38,1,0,0.1642,0
0.3939,2,0,20.375,0.62,0.38,2,0,0.1045,-10.45
0.3485,6,0,23.0,0.62,0.36,2,0,0.1642,0
0.3636,5,0,incons,0.66,0.36,2,1,0.1045,1
-3.4875,1,0,1,0.87,3.4328,3,1,0.3582,incons
0.3182,0,0,3,0.93,0.32,3,1,0.1642,17.07
0.3636,1,0,5,0.93,0.34,2,1,0,1
0.3485,1,0,6,0.96,0.34,2,1,0.1045,1
0.3636,2,0,7,0.93,0.36,2,13.8775,0.1045,1
0.303,13,0,8,0.93,0.34,2,1,0.2985,1
0.4242,15,0,9,-7.178,0.42,1,1,0.2836,1
0.5,13,0,10,0.72,0.52,2,1,0.4925,1
0.5303,13,18.130475,11,0.64,0.56,2,1,16.355,1
0.5303,0,0,12,0.64,0.56,2,1,0.2985,1
0.4545,1,0,13,0.94,0.46,3,1,0.2239,1
5.2925,1,0,14,1,0.42,3,1,0.2985,1
0.4242,0,0,15,1,0.42,3,1,0.2985,1
0.4242,2,-10.884125,16,1,0.42,3,1,0.1343,1
0.4091,2,0,17,1,0.4,3,1,0.2985,1
0.4545,4,0,18,0.94,0.46,3,1,0.194,1
0.4394,1,0,19,0.88,0.44,3,1,0.6119,1
0.4394,0,18.130475,incons,0.88,0.44,3,1,0.6119,1
0.3939,175.0,incons,21,0.87,-2.388,2,1,0.3881,1
0.303,incons,0,22,0.93,0.34,incons,1,0.4179,1
0.2879,0,incons,23,0.81,0.32,2,1,0.3881,1
0.2727,0,-10.884125,0,0.7,3.4328,1,2,0.4627,1
-3.4875,0,18.130475,1,0.7,0.26,1,incons,0.3582,1
5.2925,0,0,2,0.65,0.24,1,2,0.3881,1
0.2121,0,0,3,11.9068,0.22,1,2,0.2836,1
0.2121,0,0,4,0.69,0.22,1,2,incons,1
0.1818,1,0,5,0.64,0.2,1,2,0.2836,1
0.1818,0,0,6,0.59,0.2,incons,13.8775,0.2985,1
0.1818,2,0,7,0.59,0.2,1,2,0.3284,12.07
0.1818,10,-10.884125,8,0.59,0.2,1,2,0.3881,1
